Episode    301 | Return:    17.9 | Distance:   5.33m | Steps:  432 | flipped
Episode    302 | Return:    20.5 | Distance:   5.90m | Steps:  464 | flipped
Episode    303 | Return:    41.9 | Distance:  10.14m | Steps:  624 | flipped
Episode    304 | Return:    62.4 | Distance:  14.63m | Steps: 3000 | no_progress
Episode    305 | Return:     1.4 | Distance:   1.93m | Steps: 1500 | no_progress
Episode    306 | Return:    19.8 | Distance:   5.85m | Steps: 1500 | no_progress
Episode    307 | Return:    54.3 | Distance:  12.70m | Steps: 1185 | fell
Episode    308 | Return:    16.7 | Distance:   5.10m | Steps:  407 | fell
Episode    309 | Return:    29.7 | Distance:   7.71m | Steps:  510 | flipped
Episode    310 | Return:    17.1 | Distance:   5.17m | Steps:  345 | flipped
Episode    311 | Return:    42.9 | Distance:  10.34m | Steps:  818 | flipped
Episode    312 | Return:    17.2 | Distance:   5.22m | Steps:  442 | flipped
Episode    313 | Return:    17.2 | Distance:   5.21m | Steps:  501 | flipped
Episode    314 | Return:    37.5 | Distance:   9.56m | Steps: 1685 | fell
Episode    315 | Return:    39.1 | Distance:   9.60m | Steps:  599 | fell
Episode    316 | Return:    43.0 | Distance:  10.46m | Steps: 1390 | fell
Episode    317 | Return:    17.9 | Distance:   5.34m | Steps:  529 | flipped
Episode    318 | Return:    17.5 | Distance:   5.39m | Steps: 1500 | no_progress
Episode    319 | Return:    52.4 | Distance:  12.23m | Steps:  741 | flipped
Episode    320 | Return:    16.7 | Distance:   5.18m | Steps:  908 | flipped
Episode    321 | Return:    16.7 | Distance:   5.09m | Steps:  263 | fell
Episode    322 | Return:    17.9 | Distance:   5.35m | Steps:  413 | flipped
Episode    323 | Return:    27.2 | Distance:   7.24m | Steps:  735 | flipped
Episode    324 | Return:    17.2 | Distance:   5.20m | Steps:  395 | flipped
Episode    325 | Return:    37.6 | Distance:   9.32m | Steps:  956 | flipped
Episode    326 | Return:    28.0 | Distance:   7.68m | Steps: 1597 | fell
Episode    327 | Return:    98.0 | Distance:  21.33m | Steps: 1391 | flipped
Episode    328 | Return:    17.0 | Distance:   5.17m | Steps:  323 | fell
